r_fighter,b_fighter,date,referee,winner,r_record,r_losses,r_draws,r_wins,r_winsbydecisionmajority,r_winsbydecisionmajority,r_winsbydecisionunanimous,r_winsbydecisionunanimous,r_winsbydecisionsplit,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,b_record,b_losses,b_draws,b_wins,b_winsbydecisionmajority,b_winsbydecisionmajority,b_winsbydecisionunanimous,b_winsbydecisionunanimous,b_winsbydecisionsplit,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds)
Amir Sadollah,Dong Hyun Kim,2010-05-29,Steve Mazzagatti,Blue,3-1-0,1,0,3,0,0,2,2,0,0,1,0,3-1-0,1,0,3,0,0,1,1,1,1,0,0,0.0,138.25,77.5,1.25,1.0,0.25,233.5,0.0,53.25,30.38,6.12,3.25,1.12,508.25
Diego Sanchez,John Hathaway,2010-05-29,Herb Dean,Blue,10-3-0,3,0,10,0,0,4,4,1,5,0,0,3-0-0,0,0,3,0,0,2,2,0,1,0,0,0.38,124.51,36.77,15.2,0.45,1.02,233.3,0.0,104.25,52.25,7.25,4.75,0.75,566.25
Efrain Escudero,Dan Lauzon,2010-05-29,Josh Rosenthal,Red,2-1-0,1,0,2,0,0,1,1,0,1,0,0,0-2-0,2,0,0,0,0,0,0,0,0,0,0,0.75,56.25,22.25,2.75,2.0,1.0,227.25,0.5,24.5,9.0,3.0,1.5,0.0,132.5
Jason Brilz,Rogerio Nogueira,2010-05-29,Yves Lavigne,Blue,3-1-0,1,0,3,0,0,2,2,0,1,0,0,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0.0,116.88,50.25,8.12,2.12,0.75,386.62,1.0,28.0,14.0,0.0,0.0,0.0,2.0
Jesse Forbes,Ryan Jensen,2010-05-29,Josh Rosenthal,Blue,0-2-0,2,0,0,0,0,0,0,0,0,0,0,1-4-0,4,0,1,0,0,0,0,0,0,1,0,0.0,90.5,20.5,0.5,0.0,0.0,34.0,0.0,23.06,11.31,1.5,0.5,0.81,73.0
Luiz Cane,Cyrille Diabate,2010-05-29,Herb Dean,Blue,3-2-0,2,0,3,0,0,1,1,0,2,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.31,75.5,29.88,0.31,0.06,0.0,9.0,,,,,,,
Melvin Guillard,Waylon Lowe,2010-05-29,Yves Lavigne,Red,6-4-0,4,0,6,0,0,1,1,1,3,0,1,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.39,59.46,22.43,1.31,0.94,0.0,63.32,,,,,,,
Michael Bisping,Dan Miller,2010-05-29,Steve Mazzagatti,Red,8-3-0,3,0,8,0,0,1,1,1,6,0,0,3-2-0,2,0,3,0,0,1,1,0,0,2,0,0.02,117.75,32.39,5.65,3.4,0.25,52.12,0.0,56.62,14.44,0.44,0.38,0.88,51.56
Rampage Jackson,Rashad Evans,2010-05-29,Herb Dean,Blue,5-1-0,1,0,5,0,0,2,2,0,3,0,0,9-2-0,2,0,9,1,1,1,1,3,4,0,0,1.5,107.06,43.22,2.09,1.12,0.0,149.53,0.07,58.46,15.25,8.83,4.4,0.0,253.43
Todd Duffee,Mike Russow,2010-05-29,Josh Rosenthal,Blue,1-0-0,0,0,1,0,0,0,0,0,1,0,0,1-0-0,0,0,1,0,0,1,1,0,0,0,0,1.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,36.0,21.0,11.0,8.0,2.0,684.0
