r_name,b_name,event,date,month,year,gender,city,state,country,referee,winner,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,heightdif,agedif,reachdif,r_odds,r_age,r_age_range,r_stance,b_odds,b_age,r_age_range,b_stance,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds),r_undefeated,b_undefeated,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion
Kevin Ferguson,Matt Mitrione,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Dan Miragliotta,Blue,KO/TKO,Punches,2,False,Heavyweight,3,False,-2.54,5,-5.08,-103,36,36-40,Orthodox,-107,31,36-40,Switch,0.0,66.0,27.0,4.0,4.0,1.0,199.0,1.0,34.0,14.0,0.0,0.0,0.0,63.0,True,True,False,False,False,False,False,False
Lyoto Machida,Mauricio Rua,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Yves Lavigne,Blue,KO/TKO,Punches,1,True,Light Heavyweight,5,False,0.0,3,-5.08,-190,31,31-35,Southpaw,175,28,31-35,Orthodox,1.11,78.67,32.82,1.02,0.38,0.18,72.31,0.5,103.12,57.12,4.0,0.75,0.25,150.0,True,False,False,False,False,False,False,False
Marcus Davis,Jonathan Goulet,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Philippe Chartier,Red,KO/TKO,Punches,2,False,Welterweight,3,False,-5.08,6,-7.62,-440,36,36-40,Southpaw,350,30,36-40,Orthodox,0.02,49.28,19.04,2.88,0.67,0.89,134.44,0.5,24.05,10.05,1.11,0.53,0.13,45.63,False,False,False,False,False,False,False,False
Patrick Cote,Alan Belcher,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Mario Yamasaki,Blue,SUB,Rear Naked Choke,2,False,Middleweight,3,False,-7.62,4,-5.08,107,30,26-30,Orthodox,-117,26,26-30,Orthodox,0.2,49.82,18.95,1.74,0.04,0.06,57.32,0.75,78.26,35.09,0.06,0.04,0.14,31.58,False,False,False,False,False,False,False,False
Sam Stout,Jeremy Stephens,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Mario Yamasaki,Blue,S-DEC,,3,False,Lightweight,3,False,2.54,3,-2.54,-190,26,26-30,Orthodox,175,23,26-30,Orthodox,0.25,235.4,75.08,0.19,0.12,0.0,125.06,1.08,46.04,24.63,0.28,0.22,0.09,75.12,False,False,False,False,False,False,False,False
TJ Grant,Johny Hendricks,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Marc-Andre Cote,Blue,M-DEC,,3,False,Welterweight,3,False,2.54,0,7.62,325,26,26-30,Orthodox,-400,26,26-30,Southpaw,0.5,50.0,28.0,3.75,1.5,0.0,158.5,0.5,49.0,28.0,7.0,3.5,2.0,300.0,False,True,False,False,False,False,False,False
Tom Lawlor,Joe Doerksen,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Yves Lavigne,Blue,SUB,Rear Naked Choke,2,False,Middleweight,3,False,0.0,-6,-2.54,-600,26,26-30,Southpaw,450,32,26-30,Orthodox,0.0,69.75,29.5,7.75,2.25,1.25,249.0,0.12,19.66,8.47,3.47,1.31,2.44,171.34,False,False,False,False,False,False,False,False
Yoshiyuki Yoshida,Mike Guymon,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Philippe Chartier,Blue,U-DEC,,3,False,Welterweight,3,False,-2.54,0,-10.16,-255,35,31-35,Southpaw,215,35,31-35,Orthodox,0.0,4.5,1.88,0.12,0.12,0.38,21.5,0.0,18.0,6.0,3.0,0.0,0.0,8.0,False,False,False,False,False,False,False,False
Aaron Riley,Joe Brammer,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Steve Mazzagatti,Red,U-DEC,,3,False,Lightweight,3,False,0.0,3,-2.54,-200,29,26-30,Southpaw,170,26,26-30,Orthodox,0.0,86.78,28.62,2.53,0.62,0.03,141.41,0.0,19.0,3.0,0.0,0.0,0.0,5.0,False,False,False,False,False,False,False,False
Amir Sadollah,Dong Hyun Kim,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Steve Mazzagatti,Blue,U-DEC,,3,False,Welterweight,3,False,-10.16,1,-5.08,100,29,26-30,Orthodox,-110,28,26-30,Southpaw,0.0,138.25,77.5,1.25,1.0,0.25,233.5,0.0,53.25,30.38,6.12,3.25,1.12,508.25,False,False,False,False,False,False,False,False
Diego Sanchez,John Hathaway,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Herb Dean,Blue,U-DEC,,3,False,Welterweight,3,False,-7.62,6,-7.62,-215,28,26-30,Southpaw,195,22,26-30,Orthodox,0.38,124.51,36.77,15.2,0.45,1.02,233.3,0.0,104.25,52.25,7.25,4.75,0.75,566.25,False,True,False,False,False,False,False,False
Efrain Escudero,Dan Lauzon,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Josh Rosenthal,Red,U-DEC,,3,False,Lightweight,3,False,-2.54,2,-5.2,-400,24,21-25,Orthodox,355,22,21-25,Orthodox,0.75,56.25,22.25,2.75,2.0,1.0,227.25,0.5,24.5,9.0,3.0,1.5,0.0,132.5,False,False,False,False,False,False,False,False
Jason Brilz,Rogerio Nogueira,UFC 114: Rampage vs Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,Yves Lavigne,Blue,S-DEC,,3,False,Light Heavyweight,3,False,-7.62,1,-10.16,435,34,31-35,Orthodox,-500,33,31-35,Southpaw,0.0,116.88,50.25,8.12,2.12,0.75,386.62,1.0,28.0,14.0,0.0,0.0,0.0,2.0,False,True,False,False,False,False,False,False
