r_name,b_name,date,month,year,gender,city,state,country,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,r_odds,r_age,r_stance,b_odds,b_age,b_stance,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion,r_undefeated,b_undefeated,r_age_range,b_age_range,heightdif,reachdif,agedif
Ricardo Funch,Claude Patrick,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,SUB,Guillotine Choke,2.0,False,Welterweight,3.0,0.0,215.0,29.0,Southpaw,-255.0,29.0,Orthodox,False,False,False,False,False,False,False,True,26-30,26-30,-2.54,2.54,0.0
Tyson Griffin,Evan Dunham,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,S-DEC,,3.0,False,Lightweight,3.0,0.0,-180.0,26.0,Orthodox,168.0,28.0,Southpaw,False,False,False,False,False,False,False,True,26-30,26-30,-10.16,-5.08,-2.0
Brad Tavares,Seth Baczynski,2010-06-19,6,2010,MALE,Las Vegas,Nevada,USA,U-DEC,,3.0,False,Middleweight,3.0,0.0,-220.0,22.0,Orthodox,180.0,28.0,Orthodox,False,False,False,False,False,False,True,True,21-25,26-30,-5.08,0.0,-6.0
Chris Camozzi,James Hammortree,2010-06-19,6,2010,MALE,Las Vegas,Nevada,USA,U-DEC,,3.0,False,Middleweight,3.0,0.0,-160.0,23.0,Orthodox,140.0,26.0,Orthodox,False,False,False,False,False,False,True,True,21-25,26-30,-2.54,1.27,-3.0
Chris Leben,Aaron Simpson,2010-06-19,6,2010,MALE,Las Vegas,Nevada,USA,KO/TKO,Punches,2.0,False,Middleweight,3.0,0.0,280.0,29.0,Southpaw,-310.0,35.0,Orthodox,False,False,False,False,False,False,False,True,26-30,31-35,-2.54,2.54,-6.0
Court McGee,Kris McCray,2010-06-19,6,2010,MALE,Las Vegas,Nevada,USA,SUB,Rear Naked Choke,2.0,True,Middleweight,3.0,0.0,-220.0,25.0,Orthodox,180.0,28.0,Orthodox,False,False,False,False,False,False,True,True,21-25,26-30,-2.54,-2.54,-3.0
James McSweeney,Travis Browne,2010-06-19,6,2010,MALE,Las Vegas,Nevada,USA,KO/TKO,Punches,1.0,False,Heavyweight,3.0,0.0,165.0,29.0,Switch,-190.0,27.0,Orthodox,False,False,False,False,False,False,True,True,26-30,26-30,-5.08,-5.08,2.0
Jamie Yager,Rich Attonito,2010-06-19,6,2010,MALE,Las Vegas,Nevada,USA,KO/TKO,Punches,2.0,False,Middleweight,3.0,0.0,120.0,26.0,Orthodox,-140.0,33.0,Orthodox,False,False,False,False,False,False,True,True,26-30,31-35,7.62,2.12,-7.0
John Gunderson,Mark Holst,2010-06-19,6,2010,MALE,Las Vegas,Nevada,USA,U-DEC,,3.0,False,Lightweight,3.0,0.0,-200.0,31.0,Orthodox,170.0,24.0,Orthodox,False,False,False,False,False,False,False,True,31-35,21-25,-7.62,-14.74,7.0
Josh Bryant,Kyle Noke,2010-06-19,6,2010,MALE,Las Vegas,Nevada,USA,KO/TKO,Punches,2.0,False,Middleweight,3.0,0.0,155.0,30.0,Orthodox,-175.0,30.0,Southpaw,False,False,False,False,False,False,True,True,26-30,26-30,-7.62,-7.62,0.0
Keith Jardine,Matt Hamill,2010-06-19,6,2010,MALE,Las Vegas,Nevada,USA,M-DEC,,3.0,False,Light Heavyweight,3.0,0.0,140.0,34.0,Orthodox,-150.0,33.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,2.54,0.0,1.0
Spencer Fisher,Dennis Siver,2010-06-19,6,2010,MALE,Las Vegas,Nevada,USA,U-DEC,,3.0,False,Lightweight,3.0,0.0,-190.0,34.0,Southpaw,165.0,31.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,2.54,0.0,3.0
Brendan Schaub,Chris Tuchscherer,2010-07-03,7,2010,MALE,Las Vegas,Nevada,USA,KO/TKO,Punch,1.0,False,Heavyweight,3.0,0.0,-305.0,27.0,Orthodox,275.0,34.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,5.08,5.08,-7.0
Brock Lesnar,Shane Carwin,2010-07-03,7,2010,MALE,Las Vegas,Nevada,USA,SUB,Arm Triangle,2.0,True,Heavyweight,5.0,0.0,-145.0,32.0,Orthodox,135.0,35.0,Orthodox,False,False,False,False,False,False,False,True,31-35,31-35,2.54,2.54,-3.0
Chris Leben,Yoshihiro Akiyama,2010-07-03,7,2010,MALE,Las Vegas,Nevada,USA,SUB,Triangle Choke,3.0,False,Middleweight,3.0,0.0,177.0,29.0,Southpaw,-192.0,34.0,Orthodox,False,False,False,False,False,False,False,True,26-30,31-35,2.54,2.54,-5.0
