"fighter","fights","wins","win_pct","avg_sig_str_rate","rank_sigstr","avg_td_landed","rank_td_landed","avg_ctrl_time_s","rank_ctrl_time","avg_avgkd","rank_avgkd","overall_rank"
"Anthony Pettis","20","11","0.55","0.465","312","0.40","537","68.3","533","0.20","346","453"
"Ning Guangyou","5","3","0.60","0.388","597","1.00","307","94.6","427","0.00","552","454"
"Katsunori Kikuno","5","2","0.40","0.459","338","1.27","244","199.1","143","0.00","552","455"
"Lyoto Machida","16","8","0.50","0.454","355","0.36","571","54.2","588","0.39","140","456"
"Andy Ogle","7","1","0.14","0.471","281","1.17","271","369.9","15","0.29","228","457"
"James Vick","15","10","0.67","0.397","567","0.13","668","29.0","669","0.26","266","458"
"Jake Ellenberger","19","9","0.47","0.391","592","1.20","264","106.9","382","0.57","62","459"
"Rocco Martin","16","9","0.56","0.390","593","0.62","442","205.1","133","0.12","460","460"
"Mark Hunt","16","8","0.50","0.424","467","0.47","508","69.6","526","0.47","98","461"
"Mac Danzig","7","2","0.29","0.507","179","1.21","261","153.2","258","0.18","367","462"
"Hector Lombard","11","3","0.27","0.466","305","1.24","253","129.4","311","0.54","71","463"
"Gabriel Gonzaga","12","5","0.42","0.481","250","0.86","355","69.2","529","0.27","254","464"
"Costas Philippou","10","6","0.60","0.379","628","0.30","601","58.5","571","0.45","107","465"
"Yves Jabouin","10","5","0.50","0.423","472","0.92","338","131.0","309","0.10","492","465"
"Hatsu Hioki","9","3","0.33","0.453","359","1.98","111","278.3","53","0.00","552","467"
"Vitor Belfort","13","7","0.54","0.468","294","0.01","696","17.8","705","0.52","79","468"
"Guido Cannetti","6","2","0.33","0.513","156","1.39","215","134.2","299","0.00","552","469"
"Bethe Correia","10","5","0.50","0.470","287","0.38","545","110.7","368","0.00","552","470"
"Maurice Greene","7","4","0.57","0.470","289","0.00","697","13.2","722","0.27","257","471"
"Desmond Green","7","4","0.57","0.445","383","0.89","347","34.7","652","0.07","526","472"
"Danny Roberts","10","6","0.60","0.425","464","0.00","697","68.0","534","0.19","349","473"
"Julian Erosa","7","3","0.43","0.489","224","0.92","339","98.2","413","0.00","552","474"
"Molly McCann","6","3","0.50","0.457","349","1.23","255","50.7","597","0.00","552","475"
"Mike Wilkinson","5","3","0.60","0.353","683","0.70","413","115.6","351","0.10","484","476"
"Melvin Guillard","11","6","0.55","0.437","417","0.25","617","24.3","687","0.62","51","477"
